1   6 531                                                                           7 12      7 7             6 4 6 6 4061081                                 14420                                     0,6819012
2   8                                                                               7 12 456  8 8   9 8 9   028 7 8 8 4041                                    13420                                     0,6819012
3   7                                                                               7  234      7 8 8         7 7 7 6 4011                                    23420                                     0,6819012
4   8                                                                               8  2        9             8 9 7 7 4021022101                              22220                                     0,6819012
5   2 571572                                                                        2  2   67   7       2 4   2 2 2 2 1571573                                 23420                                     0,6819012
6   8                                                                               7 12   6  9 10      8     6 7 7 8 2027                                    14420                                     0,6819012
7   5 572512                                                                        5 1234 67 7 6 6 6   8 8   4 5 5 6 4101081                                 13420                                     0,6819012
8   7                                                                               7 123     8 8 8           7 7 7 6 4104105121                              23420                                     0,6819012
9   8                                                                               8  23  6    8 8     8     8 7 8 6 3102                                    22420                                     0,6819012
10  4 571                                                                           3 12 4    3 2   4         4 1 0 3 2519                                    12220                                     0,6819012
11  7                                                                               7  234  7   8 7 8     6   8 8 6 5 2532591572                              2225 2                                    1,9742268
12  7                                                                               7 12 4 6  7 7   6   10    7 6 7 6 402502406021                            1344 5                                    1,9742268
13  7                                                                               8 123     7 8 7           7 7 6 7 2591551573                              13320                                     0,6819012
14  7                                                                               7 12   6  9 10      7     8 8 8 7 2512083552542                           22220                                     0,6819012
15  9                                        031                                    9 1234  7 9 9 9 9     9   8 9 8 9 4041                                    12120                                     0,6819012
16  8                                                                               7 12      8 8             5 7 7 8 4048107                                 12220                                     0,6819012
17  7                                                                               7 1       7               7 8 7 7 9                                       23420                                     0,6819012
18  10                                       031001                                 101234 67 10101010  1010  1010109 9043                                    1342 5                                    1,9742268
19  8                                                                               6  2  5 7   9     8   8 017 6 7 6 2503573                                 21220                                     0,6819012
20  8                                                                               8 12 4 6  8 8   8   9     8 8 8 8 4041047                                 13220                                     0,6819012
21  7                                                                               3  23  67   8 8     5 5   2 3 3 3 4998                                    22220                                     0,6819012
22  5 508571                                                                        5 12 4    5 5   5         4 4 4 4 2504                                    13320                                     0,6819012
23  3 501                                                                           4  23 5     4 3   1     023 4 2 1 1573503533574                           12220                                     0,6819012
24  7                                                                               5 12 4 67 6 7   8   7 6   5 5 6 6 2553591                                 2221 5                                    1,9742268
25  8                                                                               9 1       7               8 8 9 8 5041                                    122135                                    0,9491525
26  6 571                                                                           6 12  5   8 8     8     026 6 6 7 4082061                                 13420                                     0,6819012
27  7                                                                               7 12 4    7 7   7         7 5 5 3 2531                                    11120                                     0,6819012
28  10                                       001051                                 10 23       1010          10107 7 4041                                    12420                                     0,6819012
29  8                                                                               8  23 5     8 8   8     018 8 7 7 3002                                    14220                                     0,6819012
30  7                                                                               6  23  6    7 7     9     5 5 6 6 9                                       12120                                     0,6819012
31  8                                                                               8 12345   8 8 8 8 7     026 6 7 8 3041002                                 2231 5                                    1,9742268
32  8                                                                               8   3         7           7 8 9 5 9                                       15320                                     0,6819012
33  8                                                                               10123  6  9 9 10    8     8 7 8 7 3001                                    2222 5                                    1,9742268
34  7                                                                               8 1234567 8 8 8 8 8 8 9 018 8 8 7 4107                                    1542 5                                    1,9742268
35  6 502                                                                           8 12  56  7 8     7 9   028 7 5 7 4107131042                              12220                                     0,6819012
36  8                                                                               6 12   6  6 6       8     7 6 5 5 9                                       22420                                     0,6819012
37  8                                                                               7 1234 6  8 8 8 8   8     8 8 7 6 4049                                    24420                                     0,6819012
